Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID	HGNC symbol	HGNC ID
1	28329002	28335967	ENSG00000130772	MED18	25944
1	151254703	151267479	ENSG00000159352	PSMD4	9561
1	35557473	35567274	ENSG00000020129	NCDN	17597
1	209938174	210171389	ENSG00000143469	SYT14	23143
1	235661041	235883640	ENSG00000143669	LYST	1968
1	156147366	156177752	ENSG00000196189	SEMA4A	10729
1	169921326	170085208	ENSG00000075945	KIFAP3	17060
1	151281618	151292180	ENSG00000143373	ZNF687	29277
1	219685427	219958647	ENSG00000196660	SLC30A10	25355
1	1232265	1235041	ENSG00000176022	B3GALT6	17978
10	32900319	33005792	ENSG00000150093	ITGB1	6153
10	26991914	27100498	ENSG00000107890	ANKRD26	29186
10	74825582	75032622	ENSG00000156650	KAT6B	17582
10	15513949	15720125	ENSG00000077943	ITGA8	6144
10	123154277	123170467	ENSG00000154473	BUB3	1151
10	5943639	5978187	ENSG00000134470	IL15RA	5978
10	73436428	73496024	ENSG00000107758	PPP3CB	9315
10	98416198	98446947	ENSG00000107521	HPS1	5163
10	60026298	60733490	ENSG00000151150	ANK3	494
10	114294824	114404756	ENSG00000169129	AFAP1L2	25901
11	67991104	68004982	ENSG00000110057	UNC93B1	13481
11	5663557	5938619	ENSG00000132256	TRIM5	16276
11	101451564	101872562	ENSG00000137672	TRPC6	12338
11	113797874	113875570	ENSG00000048028	USP28	12625
11	67435510	67438067	ENSG00000213402	PTPRCAP	9667
11	130159562	130210376	ENSG00000149418	ST14	11344
11	94415578	94493908	ENSG00000020922	MRE11	7230
11	47331397	47352702	ENSG00000134571	MYBPC3	7551
11	60890730	60906588	ENSG00000110107	PRPF19	17896
11	18468336	18527232	ENSG00000074319	TSG101	15971
11	9778667	10294207	ENSG00000133812	SBF2	2135
12	110614027	110649430	ENSG00000204852	TCTN1	26113
12	50504985	50748667	ENSG00000066084	DIP2B	29284
12	78863993	79452008	ENSG00000067715	SYT1	11509
12	121308245	121399896	ENSG00000089053	ANAPC5	15713
12	57549998	57586632	ENSG00000155980	KIF5A	6323
12	117208142	117452170	ENSG00000089250	NOS1	7872
12	64713445	64759447	ENSG00000135677	GNS	4422
12	121839527	121863596	ENSG00000158104	HPD	5147
12	21131202	21239246	ENSG00000134538	SLCO1B1	10959
12	56731596	56752373	ENSG00000198056	PRIM1	9369
12	23529500	24562544	ENSG00000134532	SOX5	11201
13	33016433	33066145	ENSG00000133116	KL	6344
13	114314335	114337626	ENSG00000198824	CHAMP1	20311
13	28300344	28495145	ENSG00000102755	FLT1	3763
13	108251240	108308484	ENSG00000102524	TNFSF13B	11929
13	31134974	31162388	ENSG00000120694	HSPH1	16969
13	21671383	21704498	ENSG00000102678	FGF9	3687
13	46053195	46105033	ENSG00000080618	CPB2	2300
13	85792787	85806683	ENSG00000184564	SLITRK6	23503
13	26132115	26222493	ENSG00000127870	RNF6	10069
13	99981772	99986773	ENSG00000043355	ZIC2	12873
13	20567069	20691437	ENSG00000032742	IFT88	20606
14	96797304	96931722	ENSG00000100749	VRK1	12718
14	104800596	104804712	ENSG00000179627	ZBTB42	32550
14	34981957	35029567	ENSG00000100883	SRP54	11301
14	61187559	61550976	ENSG00000027075	PRKCH	9403
14	91869412	91947987	ENSG00000140092	FBLN5	3602
14	91965991	92040896	ENSG00000100815	TRIP11	12305
14	49643555	49688422	ENSG00000100479	POLE2	9178
14	45135940	45200890	ENSG00000187790	FANCM	23168
14	75902136	76084585	ENSG00000119650	IFT43	29669
14	50719763	50831121	ENSG00000100503	NIN	14906
15	66702228	66782848	ENSG00000137834	SMAD6	6772
15	67201033	67255195	ENSG00000103591	AAGAB	25662
15	66336206	66386746	ENSG00000075131	TIPIN	30750
15	78104606	78131544	ENSG00000136425	CIB2	24579
15	44562696	44663678	ENSG00000104133	SPG11	11226
15	23565678	23630075	ENSG00000179455	MKRN3	7114
15	60488284	61229319	ENSG00000069667	RORA	10258
15	100559369	100603230	ENSG00000140471	LINS1	30922
15	58588807	58749978	ENSG00000137845	ADAM10	188
15	29699367	29968865	ENSG00000104067	TJP1	11827
15	73994673	74047812	ENSG00000140464	PML	9113
16	89490719	89557768	ENSG00000197912	SPG7	11237
16	3018445	3022383	ENSG00000006327	TNFRSF12A	18152
16	58157907	58197920	ENSG00000070770	CSNK2A2	2459
16	85898803	85922609	ENSG00000140968	IRF8	5358
16	30985207	30989152	ENSG00000099377	HSD3B7	18324
16	81238448	81291142	ENSG00000135697	BCO1	13815
16	10866222	10943021	ENSG00000179583	CIITA	7067
16	57735730	57757250	ENSG00000140854	KATNB1	6217
16	15643267	15726353	ENSG00000072864	NDE1	17619
16	83899126	83927026	ENSG00000103150	MLYCD	7150
16	89644431	89657845	ENSG00000131165	CHMP1A	8740
17	81650459	81663112	ENSG00000185527	PDE6G	8789
17	74916084	74923256	ENSG00000182040	USH1G	16356
17	7561875	7571969	ENSG00000161956	SENP3	17862
17	7661779	7687550	ENSG00000141510	TP53	HGNC:11998
17	12992391	13018187	ENSG00000006744	ELAC2	14198
17	81887844	81891586	ENSG00000183684	ALYREF	19071
17	7583529	7592789	ENSG00000129255	MPDU1	7207
17	75626845	75667189	ENSG00000108469	RECQL5	9950
17	80135214	80147183	ENSG00000141543	EIF4A3	18683
17	50561068	50627474	ENSG00000006283	CACNA1G	1394
17	82031624	82034204	ENSG00000169750	RAC3	9803
18	79679801	79756623	ENSG00000060069	CTDP1	2498
18	34493290	34891844	ENSG00000134769	DTNA	3057
18	58671386	58754477	ENSG00000172175	MALT1	6819
18	54269404	54321266	ENSG00000101751	POLI	9182
18	22798261	23026488	ENSG00000101773	RBBP8	9891
18	69831158	69961803	ENSG00000150637	CD226	16961
18	158383	214629	ENSG00000101557	USP14	12612
18	59267035	59274086	ENSG00000134438	RAX	18662
18	49822813	50195093	ENSG00000167306	MYO5B	7603
18	9102630	9134345	ENSG00000178127	NDUFV2	7717
18	2571511	2616635	ENSG00000080986	NDC80	16909
19	5691834	5720572	ENSG00000196365	LONP1	9479
19	38770971	38773492	ENSG00000205076	LGALS7	6568
19	54465026	54473264	ENSG00000167617	CDC42EP5	17408
19	1905378	1913447	ENSG00000213638	ADAT3	25151
19	11089362	11133816	ENSG00000130164	LDLR	6547
19	12938578	12944489	ENSG00000179218	CALR	1455
19	46918676	47005077	ENSG00000160007	ARHGAP35	4591
19	40843538	40850447	ENSG00000255974	CYP2A6	2610
19	42325609	42378769	ENSG00000105429	MEGF8	3233
19	29811898	29824308	ENSG00000105173	CCNE1	1589
